time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation,google_search
0,15.0,95,0.0,31.4,3.89,87
1,17.1,96,439.23,31.9,3.45,57
2,16.0,97,0.0,30.8,3.12,74
3,15.1,94,2533.43,24.6,5.77,50
4,13.6,84,38703.73,19.4,15.39,51
5,14.2,94,7200.0,17.5,6.44,56
6,15.1,97,6189.19,25.5,4.86,68
7,16.2,96,25480.23,20.4,11.73,61
8,18.8,93,38682.24,18.7,17.96,82
9,19.7,97,38488.98,16.0,15.82,44
10,19.2,100,37891.21,8.6,17.11,44
11,20.0,100,38308.81,12.6,16.92,43
12,17.8,100,38205.34,17.4,16.8,72
13,19.7,99,4884.76,15.0,7.63,100
14,17.0,99,6415.17,29.1,6.23,63
15,12.8,78,38011.73,24.5,14.88,50
16,11.4,88,30759.75,23.9,13.23,56
17,13.3,96,36809.04,19.7,13.39,29
18,13.9,97,37547.23,14.2,16.49,50
19,13.7,100,37382.44,11.0,15.57,63
20,12.7,85,37217.59,14.0,16.38,88
21,10.4,94,0.0,16.7,2.07,61
22,12.0,96,34713.22,24.8,13.58,77
23,11.5,90,36719.41,19.9,13.72,84
24,12.1,95,36378.09,12.1,12.31,53
25,12.1,100,35324.06,8.9,11.37,58
26,12.6,100,34936.48,19.6,13.74,38
27,15.1,99,728.43,25.7,3.75,81
28,14.5,100,13185.87,25.6,5.36,64
29,11.4,79,27275.96,27.5,10.68,56
30,10.5,84,35121.74,22.2,14.28,59
31,10.5,98,35017.61,11.9,13.04,65
32,14.2,89,33963.61,14.7,13.21,89
33,16.9,87,34399.93,14.4,13.46,54
34,17.4,81,21119.6,14.8,8.19,51
35,20.5,87,34138.09,18.7,12.38,59
36,12.7,97,847.01,19.2,3.46,69
37,13.7,100,9566.81,25.0,5.77,53
38,9.1,75,21600.0,18.1,9.03,32
39,6.6,90,22156.89,23.3,8.4,51
40,4.3,90,33797.68,12.2,12.71,62
41,6.4,93,33714.02,17.7,12.64,61
42,8.5,90,25218.75,11.0,8.92,37
43,10.3,97,26243.79,14.8,8.08,55
44,7.9,88,32984.59,12.6,10.99,61
45,13.9,91,15164.81,20.3,7.03,45
46,7.4,72,32188.53,19.3,11.93,68
47,9.1,100,14351.94,12.0,4.97,90
48,8.1,92,0.0,16.3,2.38,87
49,7.2,93,30525.57,18.1,9.9,35
